16835.800000	23679.100000
23497.800000	30070.800000
29938.200000	36750.300000
36549.000000	43376.600000
43147.800000	50027.200000
49966.500000	56832.600000
56653.800000	63359.900000
63207.700000	69962.900000
69749.000000	76507.800000
76266.100000	83028.000000
82804.200000	89561.700000
89335.800000	96063.300000
95898.800000	102623.500000
102439.300000	109137.500000
108892.000000	115587.800000
115425.700000	122111.400000
121933.900000	128602.500000
128445.100000	135113.600000
134911.500000	141571.400000
141381.800000	148021.100000
147827.000000	154454.400000
154270.800000	160887.300000
160749.400000	167378.200000
167179.100000	173813.900000
173600.100000	180242.000000
180016.500000	186660.600000
186481.500000	193149.700000
193019.700000	199713.300000
199563.000000	206267.500000
205997.500000	212716.500000
212531.500000	219275.700000
219095.900000	225847.400000
225604.700000	232363.800000
232164.600000	238933.100000
238788.100000	245558.500000
245319.100000	252107.500000
251800.200000	258615.600000
258424.900000	265248.000000
265074.600000	271928.300000
271699.800000	278556.000000
278362.100000	285229.600000
285044.300000	291911.200000
291703.600000	298581.200000
298347.500000	305218.000000
305060.900000	311963.900000
311753.700000	318652.800000
318516.600000	325419.900000
325228.600000	332116.400000
331967.300000	338841.000000
338671.000000	345555.400000
345345.100000	352211.900000
352006.000000	358868.500000
358714.100000	365567.900000
365341.400000	372201.200000
371974.100000	378821.500000
378656.600000	385495.800000
385328.000000	392156.600000
391910.600000	398728.400000
398531.400000	405323.500000
405166.300000	411938.600000
411693.800000	418650.300000
418483.800000	425127.500000
424946.800000	431807.900000
431685.300000	438686.900000
